Delivery_ID,Pickup_Latitude,Pickup_Longitude,Dropoff_Latitude,Dropoff_Longitude,Delivery_Distance_km,Package_Weight_kg,Delivery_Time_Est_min,Order_Value,Platform_Fees,Time_of_Day,Day_of_Week,Weather_Condition,Delivery_Type,Traffic_Index,Delivery_Location_Type,Discount_Applied,Surge_Multiplier,Fuel_Cost,Total_Delivery_Fee
1651,50.1770955,-56.89544,13.623373,-146.93708,5.22,6.9,237,385.18,4.94,Night,Sunday,Cloudy,Standard,1.51,Remote,0.0,2.78,7.13,54.75488
1652,73.2433,150.967274,-70.119539,-133.631376,1.97,9.51,135,213.6,1.75,Evening,Sunday,Sunny,Express,1.01,Suburban,0.0,2.12,5.03,27.79532
1653,-25.5257385,-45.370553,9.1386455,61.171249,19.85,12.89,99,281.11,3.75,Evening,Friday,Snowy,Standard,1.81,Urban,11.45,1.07,9.24,26.33705000000001
1654,84.918355,48.033189,-85.4738975,-170.746288,26.68,8.29,195,475.14,3.08,Afternoon,Friday,Windy,Express,1.61,Remote,11.08,1.0,3.37,20.859
1655,11.0020055,-97.138394,-15.8367075,-4.512768,21.26,10.15,96,199.53,4.3,Night,Sunday,Snowy,Standard,1.32,Urban,14.36,1.0,5.96,17.983
1656,15.7524195,-124.811705,83.4423915,132.625225,5.04,0.28,114,300.71,2.94,Evening,Sunday,Cloudy,Express,1.44,Remote,0.0,1.0,2.07,9.182
1657,-68.901232,3.939863,-6.21124,14.860845,44.77,16.03,182,204.17,3.58,Evening,Thursday,Rainy,Standard,1.25,Suburban,0.0,1.0,5.69,53.101
1658,42.0715795,6.964766,15.854399,-140.531118,43.98,9.11,100,453.04,4.24,Morning,Monday,Cloudy,Standard,1.27,Remote,17.83,1.0,8.25,34.399
1659,42.266714,-50.99624,1.849593,35.797766,29.99,18.59,123,235.49,2.65,Afternoon,Tuesday,Rainy,Express,0.74,Suburban,0.0,1.0,1.99,37.927
1660,72.917509,-153.0463,3.0384045,-148.892472,23.25,12.57,184,413.88,1.44,Night,Tuesday,Snowy,Express,0.71,Suburban,0.0,1.0,7.93,34.255
1661,7.62919,-13.60029,-27.7707125,79.827128,22.53,1.46,141,386.8,3.34,Afternoon,Saturday,Sunny,Standard,0.55,Remote,13.98,1.0,9.16,17.274
1662,86.8886795,-38.451029,28.405368,15.934456,10.78,11.83,195,188.82,0.92,Afternoon,Thursday,Cloudy,Express,1.37,Urban,0.0,1.0,6.75,22.209
1663,-81.2913745,63.684455,-46.6197435,98.827777,16.64,11.95,52,475.69,2.62,Night,Monday,Snowy,Standard,1.54,Remote,0.0,1.0,4.83,26.737
1664,-15.224992,115.036493,-34.1016115,95.617113,36.34,10.94,117,276.92,3.07,Morning,Tuesday,Windy,Standard,0.6,Remote,0.0,1.0,6.18,43.792
1665,-13.5902645,100.745699,16.960143,-79.490522,41.11,3.05,165,141.15,1.05,Afternoon,Monday,Sunny,Standard,1.22,Remote,0.0,2.57,2.81,98.36160999999998
1666,8.07123,112.108297,83.18403,160.767832,21.04,2.05,166,263.0,4.31,Afternoon,Tuesday,Cloudy,Express,1.55,Urban,10.95,1.0,9.62,20.837
1667,-1.893116,-179.56768,-41.235898,-108.2965,14.11,6.71,225,84.14,2.28,Morning,Sunday,Sunny,Express,1.7,Remote,0.0,1.0,1.05,17.973
1668,-50.047852,-2.53613,15.4674,72.441133,15.43,1.11,26,179.08,3.24,Morning,Sunday,Sunny,Standard,0.96,Remote,0.0,1.0,1.75,17.889
1669,-17.5165565,-52.780048,37.4533345,101.354528,38.15,8.82,198,74.13,3.02,Night,Thursday,Sunny,Express,0.69,Suburban,0.0,1.0,6.24,44.19
1670,-57.8797435,0.261046,18.8538305,34.345655,37.68,1.46,84,170.54,3.75,Afternoon,Thursday,Windy,Standard,1.02,Suburban,0.0,1.0,8.97,43.594
1671,-14.8418585,72.238514,77.1899795,-61.830449,7.58,1.92,53,201.58,4.05,Afternoon,Sunday,Sunny,Standard,1.93,Suburban,0.0,1.0,5.25,16.324
1672,-60.0457895,118.184564,45.3150465,166.733767,46.0,12.08,194,272.23,1.58,Afternoon,Wednesday,Snowy,Express,1.35,Remote,0.0,1.0,4.36,48.78
1673,-39.6013205,-139.616831,-80.978417,-123.186327,29.48,5.33,39,316.25,1.07,Morning,Tuesday,Windy,Standard,1.8,Suburban,0.0,1.0,1.92,29.239
1674,14.0397045,155.763276,-34.9317525,13.670764,24.91,16.21,63,285.71,2.12,Night,Saturday,Cloudy,Express,1.12,Suburban,0.0,1.0,8.27,38.423
1675,-52.395044,152.666421,-66.313712,160.493394,33.77,6.86,77,64.79,3.8,Night,Wednesday,Windy,Standard,1.48,Suburban,0.0,1.0,8.88,43.126
1676,55.956293,-171.945394,-40.901777,41.428462,46.18,19.97,93,412.32,4.44,Morning,Friday,Rainy,Express,0.58,Remote,0.0,1.0,6.72,58.089
1677,-70.3978205,33.01576,-14.851452,68.593574,45.43,12.83,136,44.55,1.65,Afternoon,Sunday,Snowy,Express,1.17,Suburban,14.48,1.0,2.11,32.039
1678,-76.1539155,-21.482547,-49.59897,157.259228,21.21,15.1,164,106.21,4.01,Morning,Saturday,Rainy,Standard,0.66,Urban,0.0,1.0,8.64,37.168
1679,17.2463915,81.873642,83.6385085,150.471987,5.69,11.35,230,235.37,1.26,Afternoon,Sunday,Snowy,Express,1.5,Urban,0.0,1.0,3.82,15.307
1680,72.7548265,65.185056,-86.1010595,-97.658533,23.43,0.23,175,294.48,4.16,Night,Sunday,Sunny,Standard,1.3,Suburban,0.0,2.62,6.53,77.41838
1681,11.0547785,-99.134998,25.0177115,125.382315,36.43,7.37,11,20.52,1.86,Morning,Tuesday,Windy,Express,1.65,Urban,0.0,1.0,8.25,42.939
1682,-5.5726435,87.902213,42.873555,119.865303,10.25,18.88,154,225.75,1.89,Night,Wednesday,Sunny,Standard,1.42,Remote,0.0,1.0,8.35,27.88
1683,-87.298876,-103.345581,-56.310829,161.904169,2.79,14.01,110,399.29,3.19,Morning,Saturday,Sunny,Standard,0.92,Urban,0.0,2.96,5.41,52.79752
1684,-15.135926,-148.048212,75.560502,107.831838,4.88,1.11,172,237.34,3.87,Night,Saturday,Cloudy,Express,1.53,Remote,4.36,1.0,6.33,10.299
1685,24.0982645,-169.695588,-88.7453505,-155.898356,30.16,8.31,56,468.76,3.55,Afternoon,Monday,Rainy,Standard,1.65,Suburban,0.0,1.0,2.69,34.523
1686,-66.546365,-171.349137,-89.9339205,-107.426385,16.02,1.05,100,327.02,3.8,Afternoon,Saturday,Cloudy,Express,1.25,Suburban,0.0,1.0,9.29,26.431
1687,-55.893736,151.610562,85.39966,6.261237,40.95,16.71,20,341.44,1.99,Night,Sunday,Windy,Express,1.23,Urban,10.03,1.0,5.4,38.47500000000001
1688,82.833351,110.983485,-28.9241195,-164.137228,39.26,5.31,13,12.75,4.66,Afternoon,Monday,Snowy,Express,0.63,Remote,0.0,1.0,8.78,47.503
1689,75.852179,68.205936,-26.9260145,156.792954,45.87,10.72,13,159.78,1.77,Evening,Wednesday,Snowy,Standard,1.51,Suburban,0.0,1.0,7.77,51.596
1690,54.6144765,-33.127012,48.4389695,-158.322104,46.08,8.38,192,240.39,1.52,Afternoon,Monday,Snowy,Express,0.52,Urban,0.0,1.0,1.99,44.564
1691,-22.3248245,-29.151325,-21.8003445,164.263961,17.82,11.41,93,145.91,2.37,Night,Thursday,Sunny,Standard,1.32,Suburban,0.0,1.0,5.56,27.891
1692,-80.2078855,-19.289011,21.0710185,32.678526,49.74,15.68,185,81.57,4.47,Night,Wednesday,Sunny,Express,1.3,Urban,0.0,1.0,6.58,58.682
1693,40.609803,-125.439009,6.564035,19.382124,36.79,2.98,141,213.61,1.2,Afternoon,Sunday,Windy,Express,0.54,Remote,0.0,1.0,4.63,36.752
1694,49.492556,-51.021181,19.870937,64.165598,7.66,8.11,126,129.79,4.81,Evening,Sunday,Sunny,Express,1.88,Urban,0.0,1.85,9.97,46.18155
1695,40.000955,127.989285,20.067842,-86.956744,24.36,7.27,64,274.52,1.03,Morning,Sunday,Cloudy,Standard,0.54,Remote,0.0,1.0,4.53,28.683
1696,8.6529815,-115.054903,81.7783485,-81.796964,3.01,11.55,169,91.74,0.5,Morning,Tuesday,Windy,Standard,0.83,Urban,11.49,1.0,3.13,0.3229999999999986
1697,-87.4374985,-177.371478,22.648408,-37.959218,9.51,10.31,103,489.38,3.26,Afternoon,Tuesday,Rainy,Express,1.78,Remote,0.0,1.0,3.61,19.633
1698,-52.4063025,64.221643,41.3657115,25.684081,28.25,12.81,207,424.64,2.15,Morning,Thursday,Windy,Express,1.22,Suburban,18.25,1.0,2.43,15.335
1699,-81.652658,-25.441652,8.375095,-24.853528,34.13,11.87,160,155.71,1.82,Evening,Saturday,Cloudy,Express,1.88,Urban,13.87,1.0,6.62,27.809
1700,72.339196,114.426868,83.4709965,-153.152024,22.84,19.17,237,444.68,0.76,Afternoon,Saturday,Rainy,Standard,1.34,Remote,0.0,1.0,1.97,30.587
1701,-35.57698,132.538649,59.1606945,-117.351179,16.01,12.16,109,485.88,2.45,Morning,Wednesday,Cloudy,Express,1.33,Remote,17.55,1.78,4.49,28.42384
1702,-80.6785755,58.897399,20.331399,-158.262013,28.94,9.72,186,233.33,2.62,Morning,Sunday,Sunny,Standard,1.73,Remote,0.0,2.82,1.62,90.95064
1703,44.797931,-82.293342,-75.17906,71.155967,9.19,14.46,108,384.95,4.01,Morning,Tuesday,Cloudy,Express,1.17,Suburban,0.0,1.66,1.22,32.88791999999999
1704,-84.2834385,165.786318,70.1359,-62.636653,6.56,5.75,164,264.44,3.81,Night,Wednesday,Rainy,Standard,1.2,Suburban,0.0,1.0,2.7,14.633
1705,81.3162465,-44.8013,15.76504,-11.860804,38.38,11.42,188,101.82,0.63,Evening,Tuesday,Snowy,Express,1.91,Suburban,6.39,1.0,3.53,34.184
1706,82.0480335,53.647719,69.1764295,-5.82525,19.1,16.52,70,480.97,2.57,Evening,Sunday,Cloudy,Standard,1.24,Remote,3.21,1.0,6.23,29.13
1707,34.882253,125.545887,36.7395765,-73.169057,43.88,4.81,234,179.7,0.65,Night,Monday,Cloudy,Express,0.87,Urban,0.0,1.0,4.48,42.63900000000001
1708,59.503569,3.74521,-54.009586,30.569233,34.76,8.32,18,427.82,1.55,Evening,Friday,Windy,Express,1.73,Remote,0.0,1.0,1.64,35.158
1709,-28.1735465,32.76902,86.567961,106.847485,36.15,2.93,62,111.98,2.86,Night,Sunday,Snowy,Standard,1.93,Remote,0.0,1.0,2.13,35.37500000000001
1710,34.1864135,-31.75961,85.531015,142.937839,2.67,7.28,87,316.58,1.05,Evening,Sunday,Rainy,Standard,1.6,Suburban,0.0,1.0,4.33,11.156
1711,-67.767415,122.427248,3.7141595,11.185478,9.29,9.5,161,133.34,1.76,Night,Thursday,Sunny,Standard,1.93,Remote,0.0,1.0,8.17,22.112
1712,13.407803,-119.10064,26.258933,28.790221,19.95,7.3,217,376.33,2.92,Night,Wednesday,Sunny,Express,0.6,Urban,6.59,1.0,8.39,24.33
1713,-19.932555,138.926502,40.723054,98.294531,37.77,9.96,116,111.74,4.14,Morning,Tuesday,Snowy,Express,0.54,Urban,0.0,1.0,5.41,44.74600000000001
1714,8.4986995,-115.863134,78.3631685,-150.345048,19.16,12.06,76,129.7,2.06,Evening,Wednesday,Sunny,Express,1.26,Suburban,0.0,1.0,8.42,31.838
1715,71.3205495,115.769131,-78.717372,-84.232979,26.47,17.17,226,401.96,4.51,Afternoon,Friday,Snowy,Express,1.85,Urban,13.03,1.0,3.4,24.641
1716,63.511997,-152.612133,-10.3430605,-90.753117,30.92,18.29,72,19.77,2.94,Night,Friday,Rainy,Express,1.13,Suburban,18.78,1.0,7.09,25.131
1717,8.5812545,-64.656826,71.1635235,-16.049457,45.01,3.54,210,71.7,3.47,Evening,Friday,Sunny,Express,1.33,Suburban,0.0,2.74,4.69,125.87012
1718,45.183617,117.460283,49.688189,-27.194725,16.77,12.95,123,148.51,4.5,Evening,Saturday,Sunny,Standard,1.77,Remote,0.0,1.0,9.5,33.891
1719,-5.580726,-96.32902,1.4117795,172.568706,37.17,4.1,15,285.21,0.73,Afternoon,Sunday,Sunny,Standard,1.2,Suburban,0.0,1.0,1.54,34.056
1720,-49.626673,72.085428,72.606931,-12.869641,48.38,15.16,206,280.27,2.07,Evening,Tuesday,Windy,Standard,1.6,Suburban,0.0,1.0,1.52,49.87400000000001
1721,-75.145422,-14.426609,-52.017203,-96.216626,25.99,2.52,24,133.38,1.92,Night,Monday,Cloudy,Standard,0.59,Remote,0.0,1.0,3.81,27.782
1722,-75.420276,28.886923,57.629715,32.920019,24.64,10.19,161,239.27,3.81,Night,Thursday,Snowy,Express,1.08,Remote,0.0,2.3,2.26,71.0171
1723,43.8362385,162.903741,61.8486095,97.878238,12.59,8.08,80,50.43,0.85,Night,Sunday,Rainy,Express,1.51,Urban,0.0,1.0,7.41,22.372
1724,-46.693414,168.663015,-39.7086825,-100.800469,48.2,18.53,54,450.21,1.05,Evening,Thursday,Windy,Express,1.03,Remote,0.0,1.59,2.88,82.29045
1725,60.328149,68.206157,-50.5255865,51.665478,27.77,18.32,193,93.0,1.96,Evening,Wednesday,Snowy,Standard,1.25,Suburban,14.23,1.0,9.55,28.656
1726,8.646583,55.336748,-0.347071,-130.606364,41.71,0.88,236,76.78,2.93,Afternoon,Tuesday,Snowy,Express,0.9,Suburban,0.0,1.66,8.9,75.75908
1727,-82.163051,-79.612303,23.5857695,-106.182744,18.24,17.29,172,59.27,1.15,Morning,Monday,Snowy,Standard,0.81,Remote,0.0,1.0,8.46,32.84699999999999
1728,13.1248005,59.451841,-54.3393665,-83.721763,46.35,19.84,31,386.32,2.5,Night,Sunday,Windy,Express,1.52,Urban,0.0,1.0,3.65,53.15000000000001
1729,49.927696,114.140673,74.231882,-2.217016,22.79,17.45,47,17.07,2.96,Morning,Thursday,Snowy,Standard,1.3,Suburban,0.0,1.0,5.22,35.137
1730,63.65134,54.708221,-24.697323,-7.553416,30.33,14.6,106,94.81,4.95,Night,Tuesday,Windy,Express,0.67,Remote,0.0,1.0,4.0,40.514
1731,19.963166,-114.179219,54.29292,7.105178,37.14,2.99,116,189.16,2.17,Morning,Sunday,Rainy,Standard,1.58,Remote,0.0,1.0,3.55,36.927
1732,-19.6862935,-38.690755,-70.411247,-8.960623,41.56,18.72,23,377.7,1.74,Night,Sunday,Snowy,Standard,0.61,Urban,0.0,1.25,3.23,59.4725
1733,-48.2083615,-175.711423,-52.500827,-3.216357,21.05,9.65,214,20.33,1.39,Afternoon,Tuesday,Cloudy,Express,1.45,Remote,7.55,1.0,9.01,24.515
1734,-72.406559,51.342727,-68.0497785,97.420512,5.44,14.15,28,301.27,3.55,Afternoon,Sunday,Cloudy,Standard,0.87,Urban,0.0,2.0,4.22,38.394
1735,-74.578349,-178.660997,21.527207,161.611163,8.12,5.4,206,181.93,2.77,Morning,Tuesday,Sunny,Standard,1.09,Suburban,0.0,1.0,7.42,19.386
1736,22.713866,147.642029,38.549443,46.698425,15.77,19.27,46,224.02,2.48,Afternoon,Tuesday,Windy,Express,1.48,Urban,0.0,1.0,2.64,27.371
1737,61.5028945,88.023058,86.440235,11.978664,45.29,18.94,46,141.1,3.65,Morning,Wednesday,Cloudy,Express,1.23,Remote,0.0,1.0,2.07,51.422
1738,15.600619,-50.424408,-53.709082,-94.659627,43.61,15.67,221,427.23,1.98,Night,Monday,Windy,Standard,1.68,Urban,0.0,1.0,6.09,50.79299999999999
1739,-21.3565115,90.923233,30.0743785,-24.729637,26.64,14.13,153,315.6,0.63,Morning,Thursday,Windy,Standard,1.8,Urban,18.72,1.0,2.03,12.317
1740,4.3792295,87.188392,-42.673387,-101.411251,10.54,10.98,123,241.17,3.77,Morning,Friday,Sunny,Express,1.77,Suburban,1.69,1.0,2.45,18.452
1741,-78.303197,31.094674,-45.451551,77.69811,24.19,17.49,80,55.61,2.28,Morning,Sunday,Windy,Standard,1.63,Suburban,18.71,1.0,4.85,16.517
1742,42.293262,146.891888,-39.3445595,132.111348,21.63,8.38,48,69.6,1.8,Night,Monday,Cloudy,Express,1.22,Remote,0.0,1.0,7.6,30.894
1743,75.1291965,38.124549,-61.4717205,-74.507398,36.09,15.59,227,491.17,3.65,Afternoon,Friday,Rainy,Standard,0.86,Remote,11.59,1.0,4.48,33.20699999999999
1744,34.597917,1.365547,28.531587,144.961565,7.25,10.23,87,479.22,1.73,Morning,Wednesday,Sunny,Standard,1.03,Urban,12.39,2.68,5.39,35.9438
1745,-75.066486,91.747355,42.9358815,-31.294713,35.26,4.61,34,54.79,1.8,Morning,Tuesday,Snowy,Express,1.08,Urban,0.0,1.24,5.06,46.34251999999999
1746,71.812884,178.021542,50.307915,-49.148246,37.48,3.77,182,372.28,3.72,Afternoon,Wednesday,Snowy,Standard,0.58,Urban,0.0,1.0,9.77,45.35899999999999
1747,38.6663405,111.674936,-32.340075,131.115164,11.11,12.08,70,42.64,4.76,Evening,Tuesday,Sunny,Express,0.94,Urban,0.0,1.0,5.12,24.808
1748,-81.317294,-2.899494,57.7704215,42.992746,27.98,8.82,85,195.7,1.92,Afternoon,Wednesday,Cloudy,Express,1.76,Urban,0.0,1.0,7.18,35.894
1749,-84.284054,164.267714,31.8110535,90.415681,23.38,14.5,146,158.76,0.71,Night,Saturday,Windy,Standard,1.08,Urban,0.0,1.0,1.42,28.084
1750,11.296934,5.84768,-0.976604,-160.614741,46.97,10.12,22,231.65,3.82,Afternoon,Monday,Snowy,Express,1.19,Urban,0.0,1.0,1.39,47.846
1751,65.9897085,116.146709,44.137945,-62.630443,3.44,6.32,156,294.75,1.81,Afternoon,Saturday,Windy,Express,1.0,Suburban,0.0,1.0,2.24,9.962000000000002
1752,41.3667935,165.239466,12.3209235,3.77641,2.46,17.48,159,479.08,1.76,Night,Saturday,Windy,Express,0.92,Suburban,0.0,1.0,7.18,19.648
1753,8.7968245,-104.859257,-38.8059615,-115.588852,49.71,15.43,21,427.41,1.32,Evening,Friday,Sunny,Standard,1.03,Remote,0.0,2.45,9.7,143.33235
1754,-14.3593285,175.604205,62.4718995,33.776067,35.13,2.08,138,24.86,1.8,Afternoon,Sunday,Sunny,Standard,1.8,Remote,0.0,1.0,7.84,38.78400000000001
1755,25.934261,64.747709,-87.424201,79.020658,46.22,1.18,91,73.74,3.02,Evening,Thursday,Snowy,Standard,0.81,Suburban,0.0,2.35,5.15,107.4796
1756,-75.2649485,152.04142,-76.8268505,-45.921539,8.31,19.32,81,180.82,4.55,Afternoon,Wednesday,Sunny,Express,0.81,Remote,4.21,1.0,3.18,19.828
1757,27.1701535,34.345734,-61.6569835,60.1782,42.81,19.17,24,341.59,2.69,Morning,Thursday,Snowy,Express,1.79,Urban,0.0,1.0,2.82,49.343
1758,-49.342516,-88.746371,35.2589045,101.07745,28.53,11.1,21,323.9,3.31,Morning,Sunday,Windy,Express,1.72,Urban,0.0,1.0,8.89,40.574
1759,20.118502,78.477622,-29.687722,140.67072,39.03,6.87,119,11.8,0.85,Night,Friday,Cloudy,Express,1.67,Urban,0.0,1.0,3.17,38.67900000000001
1760,-82.307177,-26.051712,-39.347456,6.801997,29.77,15.79,197,12.25,4.04,Morning,Tuesday,Snowy,Express,1.6,Remote,0.0,1.0,7.91,43.661
1761,35.8706385,-106.783339,-59.1119425,-111.80415,28.95,10.43,44,271.1,4.67,Morning,Monday,Snowy,Express,1.22,Remote,0.0,1.0,1.18,34.225
1762,-4.1653745,-93.165649,-67.262184,66.430909,37.32,0.44,143,278.22,1.44,Evening,Saturday,Sunny,Standard,1.24,Suburban,0.0,1.0,1.24,32.756
1763,-77.711802,109.422042,6.2148185,-145.174955,26.56,9.51,18,11.26,0.56,Evening,Sunday,Rainy,Standard,0.58,Suburban,8.56,1.0,5.93,23.93299999999999
1764,45.955611,112.911584,-68.9285095,37.189979,9.21,17.57,181,222.9,3.01,Night,Monday,Rainy,Express,1.86,Suburban,0.0,1.72,3.09,38.27516000000001
1765,-50.7864785,44.713439,77.0310035,-10.296496,41.6,3.76,128,309.03,0.73,Afternoon,Thursday,Windy,Express,1.26,Suburban,8.81,1.0,7.37,34.45
1766,82.1561525,-152.576158,-0.2824105,51.714163,41.67,15.09,45,246.15,2.61,Morning,Sunday,Snowy,Express,1.39,Urban,0.0,1.0,5.9,49.39100000000001
1767,41.9341815,-9.45592,80.3962085,-47.093707,45.31,7.84,65,257.02,1.92,Evening,Saturday,Snowy,Standard,0.65,Remote,18.05,1.0,5.82,29.85800000000001
1768,-15.2013175,-54.970649,70.72819,164.600445,18.92,0.25,118,387.42,1.03,Afternoon,Friday,Snowy,Standard,1.84,Suburban,8.97,1.0,8.44,15.761
1769,11.816689,6.117417,80.3338545,-61.362721,8.17,9.73,84,219.52,3.75,Morning,Wednesday,Sunny,Express,0.88,Urban,0.0,1.0,2.79,17.941
1770,-84.026375,86.429349,8.9605035,-59.658624,20.58,19.43,94,237.79,3.36,Afternoon,Wednesday,Rainy,Standard,0.6,Remote,0.0,1.0,6.44,35.979
1771,75.8052855,147.276091,52.0915185,119.071745,20.89,13.86,41,360.53,1.35,Night,Saturday,Windy,Express,1.58,Urban,0.0,1.0,6.92,31.912
1772,-9.5849575,146.819139,4.2217105,-127.777722,6.01,9.96,119,312.03,3.19,Morning,Saturday,Cloudy,Express,1.28,Suburban,0.0,1.0,2.55,15.528
1773,-35.856675,177.332444,-82.3579145,-27.705639,31.78,0.58,157,146.66,2.76,Morning,Wednesday,Cloudy,Standard,1.62,Remote,0.0,1.0,5.7,34.17400000000001
1774,9.284912,-166.73713,79.915361,146.742481,4.59,4.22,225,129.51,4.62,Night,Monday,Cloudy,Express,0.63,Urban,6.11,1.0,2.42,6.712000000000001
1775,-26.320929,141.517788,7.883577,92.617866,1.37,2.79,125,137.3,0.91,Morning,Tuesday,Rainy,Standard,1.43,Suburban,0.0,1.0,6.5,9.901
1776,-7.674472,-97.198373,85.407457,120.682951,47.24,10.32,63,271.35,1.18,Morning,Sunday,Windy,Express,0.52,Remote,0.0,2.16,5.99,108.26352
1777,-67.093061,131.271423,51.283657,97.294985,25.65,0.61,116,207.78,2.13,Afternoon,Sunday,Cloudy,Express,1.78,Urban,0.0,1.0,6.93,29.885
1778,54.4899955,-124.573652,42.058376,144.429703,12.27,12.83,55,22.57,2.45,Night,Monday,Snowy,Standard,1.68,Urban,0.0,1.05,8.76,28.81305
1779,-14.2048325,179.477957,-46.467613,-68.166173,6.03,19.4,54,78.96,3.62,Afternoon,Saturday,Cloudy,Express,1.71,Urban,0.0,1.0,3.03,21.174
1780,-70.3760635,30.233506,-44.019891,-95.626249,42.63,8.3,209,304.19,4.01,Morning,Saturday,Windy,Express,1.95,Suburban,2.23,1.0,6.54,46.57400000000001
1781,-87.79488,-10.950465,54.160586,85.86779,14.82,2.83,101,469.81,2.81,Morning,Friday,Sunny,Express,1.26,Suburban,1.25,1.0,4.99,19.821
1782,-74.5864435,-165.732453,1.603087,39.080623,5.42,4.41,27,133.03,3.8,Afternoon,Saturday,Sunny,Standard,1.68,Suburban,0.0,1.27,8.17,23.50897000000001
1783,-27.3627485,176.941993,-70.3277445,122.341004,21.31,1.61,16,376.61,2.94,Afternoon,Friday,Cloudy,Standard,1.82,Suburban,0.0,2.21,4.93,56.84782999999999
1784,-33.279116,-98.759128,-85.4068865,-100.090983,14.56,0.57,123,157.97,1.82,Evening,Tuesday,Rainy,Express,0.97,Remote,0.0,1.0,6.49,20.243
1785,-66.71269,-50.548352,-6.1775075,-150.700104,32.44,16.25,229,105.75,1.83,Night,Friday,Snowy,Standard,1.61,Urban,17.15,1.0,2.81,21.567
1786,22.708277,125.107151,-72.680653,-53.726153,1.22,12.44,158,460.78,1.02,Evening,Saturday,Cloudy,Express,0.83,Suburban,14.05,1.0,9.82,3.986000000000001
1787,70.4920135,37.958442,82.077587,53.264744,18.42,7.32,86,63.24,3.33,Afternoon,Saturday,Cloudy,Standard,1.68,Remote,0.0,1.0,4.27,25.996
1788,-68.4378645,-119.969867,-29.8545695,1.854372,7.58,11.59,213,217.73,1.22,Evening,Wednesday,Snowy,Express,1.25,Urban,4.95,1.99,8.59,38.17131
1789,-78.5456085,56.355947,-80.143865,27.231873,35.39,17.84,92,37.62,1.36,Night,Monday,Windy,Standard,1.61,Urban,0.0,1.0,1.41,40.002
1790,-11.7030625,-51.193254,-12.109137,72.968928,42.74,8.62,159,65.36,4.2,Morning,Wednesday,Snowy,Express,1.41,Urban,0.0,1.0,2.88,45.58200000000001
1791,-27.053092,-135.693425,26.624276,36.848568,14.39,10.65,89,164.32,1.11,Evening,Tuesday,Sunny,Standard,0.99,Urban,18.1,1.0,4.62,4.466999999999999
1792,-24.098256,66.609173,78.9297965,-33.34916,7.87,10.52,125,240.33,4.8,Morning,Friday,Cloudy,Express,2.0,Remote,0.0,1.0,6.1,22.456
1793,-69.145212,-132.19031,77.9734625,136.362159,43.87,12.52,165,125.96,2.94,Morning,Wednesday,Windy,Standard,0.5,Suburban,2.42,1.0,2.2,44.07599999999999
1794,-48.3847215,-88.002604,18.5839085,38.934165,12.65,15.98,157,234.73,3.76,Morning,Monday,Cloudy,Standard,0.75,Urban,17.66,1.0,9.39,13.6
1795,46.573981,-130.40513,4.3061055,-166.524711,46.13,5.24,66,79.7,3.63,Night,Monday,Cloudy,Standard,0.63,Urban,18.91,1.0,1.42,25.66400000000001
1796,-88.1235795,100.875625,-33.007549,131.01516,6.23,14.23,178,424.29,3.4,Morning,Sunday,Cloudy,Standard,1.1,Urban,0.0,1.0,3.26,18.759
1797,-38.622813,-130.814839,14.156151,-179.29374,46.28,11.34,31,435.76,1.12,Afternoon,Monday,Cloudy,Standard,1.73,Suburban,19.39,2.3,3.37,89.13319999999999
1798,-80.361883,-128.342589,-68.3390415,-106.259995,17.78,11.5,220,456.25,3.14,Morning,Sunday,Windy,Standard,1.02,Remote,7.74,1.0,6.63,22.004
1799,-62.815868,19.88461,87.8376495,-123.998236,1.2,17.98,181,118.99,2.51,Night,Monday,Rainy,Standard,0.95,Urban,0.0,1.0,5.52,17.98
1800,-3.0119765,170.149424,-65.454908,106.455392,14.61,17.63,65,229.03,2.4,Night,Tuesday,Snowy,Standard,1.85,Remote,8.2,1.0,5.95,20.653
1801,-1.711103,-73.605261,-50.498474,129.010821,19.0,5.58,76,380.61,0.84,Night,Thursday,Sunny,Standard,1.24,Remote,0.0,1.0,9.62,28.45
1802,16.409662,33.88521,-34.484059,-141.499398,42.38,17.4,152,381.09,4.22,Evening,Sunday,Sunny,Standard,1.32,Suburban,11.91,1.0,9.84,44.754
1803,-53.370324,-87.220596,15.5013825,-147.201434,27.53,5.0,120,247.28,1.4,Morning,Friday,Windy,Express,1.05,Suburban,0.0,1.0,6.33,32.254
1804,27.6513295,-125.867403,-15.602408,-108.282381,49.35,9.35,158,322.74,1.71,Evening,Friday,Sunny,Standard,1.72,Suburban,9.2,1.0,7.17,43.83500000000001
1805,42.9638705,-28.639128,47.2112265,-147.694386,39.21,17.05,34,43.76,2.68,Night,Thursday,Cloudy,Standard,1.43,Suburban,0.0,1.0,9.32,51.893
1806,12.1324485,-51.257197,-15.1968575,-168.476012,40.51,0.25,130,326.64,4.77,Afternoon,Thursday,Cloudy,Express,1.09,Urban,0.0,1.0,8.47,45.773
1807,57.880557,98.202361,-35.155793,39.045172,46.38,16.47,13,452.38,0.53,Morning,Monday,Rainy,Standard,0.86,Urban,0.0,1.0,4.3,50.169
1808,-12.770278,-149.286827,-44.804003,-48.460897,20.14,16.45,232,282.36,2.91,Morning,Friday,Rainy,Standard,0.95,Remote,0.0,1.0,3.54,30.787
